iter	Passed	Remaining
635	1247	713
636	1248	711
637	1248	708
638	1249	705
639	1250	703
640	1251	700
641	1251	698
642	1252	695
643	1253	692
644	1254	690
645	1255	687
646	1255	685
647	1256	682
648	1257	680
649	1258	677
650	1259	675
651	1259	672
652	1260	669
653	1261	667
654	1262	664
655	1263	662
656	1263	659
657	1264	657
658	1265	654
659	1266	652
660	1267	649
661	1267	647
662	1268	644
663	1269	642
664	1270	639
665	1271	637
666	1271	634
667	1272	632
668	1273	630
669	1274	627
670	1274	625
671	1275	622
672	1276	620
673	1277	617
674	1278	615
675	1279	613
676	1279	610
677	1283	609
678	1284	607
679	1286	605
680	1287	603
681	1288	600
682	1290	598
683	1291	596
684	1293	594
685	1294	592
686	1296	590
687	1297	588
688	1299	586
689	1300	584
690	1301	582
691	1303	580
692	1304	578
693	1306	575
694	1307	573
695	1308	571
696	1309	569
697	1311	567
698	1312	565
699	1313	562
700	1314	560
701	1315	558
702	1316	556
703	1317	553
704	1318	551
705	1319	549
706	1319	547
707	1320	544
708	1321	542
709	1322	540
710	1323	538
711	1324	535
712	1326	533
713	1326	531
714	1327	529
715	1328	527
716	1329	524
717	1330	522
718	1332	520
719	1333	518
720	1334	516
721	1335	514
722	1336	512
723	1337	509
724	1338	507
725	1339	505
726	1340	503
727	1341	501
728	1342	499
729	1343	497
730	1344	494
731	1345	492
732	1347	490
733	1348	488
734	1349	486
735	1350	484
736	1351	482
737	1352	480
738	1353	478
739	1354	475
740	1355	473
741	1356	471
742	1357	469
743	1364	469
744	1365	467
745	1366	465
746	1367	463
747	1368	461
748	1369	459
749	1370	456
750	1371	454
751	1372	452
752	1374	450
753	1375	448
754	1376	446
755	1377	444
756	1378	442
757	1379	440
758	1380	438
759	1381	436
760	1383	434
761	1384	432
762	1385	430
763	1386	428
764	1387	426
765	1388	424
766	1389	422
767	1390	420
768	1391	417
769	1392	416
770	1393	413
771	1394	411
772	1396	409
773	1397	407
774	1398	405
775	1399	403
776	1400	401
777	1401	399
778	1402	397
779	1403	395
780	1404	393
781	1405	391
782	1406	389
783	1408	387
784	1409	385
785	1448	394
786	1449	392
787	1450	390
788	1451	388
789	1452	386
790	1453	384
791	1454	382
792	1455	380
793	1586	411
794	1588	409
795	1590	407
796	1591	405
797	1592	403
798	1631	410
799	1633	408
800	1634	406
801	1635	403
802	1635	403
803	1638	399
804	1640	397
805	1643	396
806	1645	394
807	1651	392
808	1654	391
809	1656	388
810	1659	387
811	1667	386
812	1668	384
813	1670	382
814	1677	381
815	1683	380
816	1685	377
817	1686	375
818	1687	373
819	1689	371
820	1691	369
821	1695	367
822	1698	365
823	1699	363
824	1701	361
825	1702	359
826	1704	356
827	1706	354
828	1710	353
829	1712	351
830	1714	349
831	1716	347
832	1719	345
833	1720	342
834	1723	340
835	1728	339
836	1730	337
837	1733	335
838	1735	333
839	1736	331
840	1741	329
841	1743	327
842	1745	325
843	1747	323
844	1749	321
845	1751	319
846	1752	316
847	1757	315
848	1758	313
849	1759	310
850	1761	308
851	1762	306
852	1764	304
853	1765	302
854	1767	300
855	1769	298
856	1774	296
857	1776	294
858	1777	292
859	1780	290
860	1781	287
861	1783	285
862	1787	284
863	1789	281
864	1790	279
865	1791	277
866	1793	275
867	1794	273
868	1796	271
869	1797	268
870	1798	266
871	1803	264
872	1805	262
873	1807	260
874	1809	258
875	1811	256
876	1813	254
877	1815	252
878	1817	250
879	1820	248
880	1825	246
881	1827	244
882	1832	243
883	1834	240
884	1835	238
885	1836	236
886	1838	234
887	1839	232
888	1840	230
889	1842	227
890	1845	225
891	1849	224
892	1850	222
893	1852	219
894	1854	217
895	1855	215
896	1858	213
897	1862	211
898	1864	209
899	1868	207
900	1872	205
901	1879	204
902	1881	202
903	1883	200
904	1885	198
905	1886	195
906	1888	193
907	1893	192
908	1895	189
909	1896	187
910	1899	185
911	1900	183
912	1902	181
913	1903	179
914	1906	177
915	1908	175
916	1909	173
917	1911	170
918	1912	168
919	1914	166
920	1915	164
921	1917	162
922	1918	160
923	1920	158
924	1922	156
925	1925	154
926	1927	151
927	1928	149
928	1929	147
929	1930	145
930	1931	143
931	1932	141
932	1937	139
933	1938	137
934	1939	135
935	1941	132
936	1944	130
937	1946	128
938	1948	126
939	1953	124
